meta_category,report_text,severity_output,rationale_output,official_source,official_hazard_type,official_severity_hint,official_distance_km,official_minutes_ago,official_summary,prior_suburb,prior_text,prior_minutes_ago
no_context,"Small tree branch fell on the footpath outside my place, no one hurt.",low,"A minor, isolated hazard with no corroborating official data — low impact, no immediate danger described.",,,,,,,,,
no_context,Noticed a strange smell in the air near the river this morning.,low,Vague report with no matching official data; nothing in the description suggests an urgent hazard.,,,,,,,,,
no_context,Power flickered a few times but came back on its own.,low,"A brief, resolved issue with no official confirmation of a wider outage.",,,,,,,,,
no_context,There's a dog running loose on the main street.,low,"Not an emergency hazard, and no official context applies.",,,,,,,,,
no_context,"My letterbox got knocked over, might have been the wind.",low,"Minor property issue, no official warning applies, low severity.",,,,,,,,,
no_context,Saw some smoke in the distance but it looks like a controlled burn.,medium,"Smoke sighting warrants some caution even without official confirmation, though 'controlled burn' suggests lower urgency.",,,,,,,,,
no_context,Loud bang from what might have been a gas cylinder exploding two houses down.,high,A loud explosion-like event with no official data yet — described severity alone warrants urgent attention until more is known.,,,,,,,,,
no_context,"Just heard on the radio there might be a tsunami warning issued, not sure if it's real.",medium,"Secondhand, unconfirmed claim with no official corroboration yet — treated with caution rather than dismissed, given the potential severity if true.",,,,,,,,,
no_context,"Whole street lost power about 10 minutes ago, still out.",medium,"A wider outage affecting the street is more significant than an isolated flicker, but there is no official confirmation yet of cause or scale.",,,,,,,,,
official_supports,"Felt some shaking just now, lasted a few seconds, nothing fell over.",low,"Matches a recent nearby earthquake in official data, but the report directly confirms no damage — a felt-but-undamaging shake is low severity from an emergency-response perspective, regardless of the official severity hint.",geonet,earthquake,medium,8.2,14,"M4.2 earthquake, 12km deep, near Ngaio",,,
official_supports,"There's a road hazard here, traffic is backed up because of it.",medium,Corroborated by an active official road event at this location; consistent with a moderate traffic-affecting hazard.,nzta,road_hazard,medium,3.5,25,"Crash (Multi-Vehicle): SH2 Petone, lane closure, delays reported",,,
official_supports,Weather's turned quite severe here in the last hour.,low,"Matches an active official severe weather warning, but the report describes no concrete impact — a subjective 'severe' feeling without described damage is low severity, regardless of the official hint.",metservice,severe_weather,medium,,55,"Severe Thunderstorm Watch, Wellington region",,,
official_supports,"Strong shaking, some items fell off shelves, quite scary.",low,"Matches a recent nearby earthquake in official data; described falling items are concrete but contained damage — low severity, not indicating structural danger.",geonet,earthquake,medium,5.1,9,"M4.8 earthquake, 8km deep, 10km NW of Wellington",,,
