meta_call,report_text,question_output,answer,actions_output
1_ask,Something's wrong near my house.,"Could you tell us more about what you're seeing or hearing, and roughly where you are?",,
1_ask,There's smoke coming from the industrial park.,"About how much smoke, and can you see any flames? Is there anyone or houses nearby?",,
1_ask,"Felt the ground shake for a few seconds around 3pm, nothing fell over, no damage that I can see.","Thanks for the detail — can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking?",,
1_ask,Water,"Can you tell us more — where is the water, and what's happening exactly?",,
1_ask,"Big crash sound outside, not sure what happened, no one's hurt as far as I can tell.",Can you please tell us what kind of crash it is and whether you can see any damage?,,
1_ask,"Tree down on Karori Road blocking one lane, happened about ten minutes ago.","Thanks — is the tree blocking the whole road or just part of it, is anyone injured or is anything damaged by the tree?",,
1_ask,Power's out.,"Can you tell us which street or suburb you're in, and whether it looks like just your place or a wider area?",,
1_ask,"Strong smell of gas near the shops on Adelaide Road, been noticing it for the last 15 minutes, seems to be getting stronger.","Thanks for the detail — have you noticed anyone else reacting to the smell, or any visible source nearby?",,
1_ask,Flooding,How deep is the water and is anyone in danger or vehicles damaged?,,
1_ask,"My neighbour's fence blew down in the wind about half an hour ago, no one was hurt, just the fence.",Thanks for confirming no one was hurt — is the fence blocking any path or road?,,
2_act,Something's wrong near my house.,Could you tell us more about what you're seeing or hearing?,"I can smell smoke but can't see where it's coming from, I'm on Riddiford Street.","monitor_situation, document_further"
2_act,There's smoke coming from the industrial park.,"About how much smoke, and can you see any flames?","Quite a lot of dark smoke, no flames visible from here.",call_111
2_act,"Felt the ground shake for a few seconds around 3pm, nothing fell over, no damage that I can see.",Can you confirm roughly how strong the shaking felt?,"Pretty mild, just a wobble, nothing fell or broke.",none
2_act,Water,"Can you tell us more — where is the water, and what's happening exactly?","It's coming up through a drain on our street, ankle deep now and rising slowly.","monitor_situation, check_neighbours"
2_act,"Big crash sound outside, not sure what happened, no one's hurt as far as I can tell.",Can you tell us roughly where the sound came from and whether you can see any damage?,"Sounded like it came from the driveway next door, I can't see anything from here.",check_neighbours
2_act,"Tree down on Karori Road blocking one lane, happened about ten minutes ago.","Is the tree blocking the whole road or just part of it, and is anyone directing traffic?","Just one lane, cars are getting past slowly, no one's directing traffic.",document_further
2_act,Power's out.,"Can you tell us which street or suburb you're in, and whether it looks like just your place or a wider area?","We're on Riddiford Street in Newtown, looks like the whole block is out.",monitor_situation
2_act,"Strong smell of gas near the shops on Adelaide Road, been noticing it for the last 15 minutes, seems to be getting stronger.","Have you noticed anyone else reacting to the smell, or any visible source nearby?","A couple of people walked away from the shops holding their noses, can't see where it's coming from.","call_111, check_neighbours"
2_act,Flooding,"Can you tell us where exactly, and roughly how deep the water is?","Outside our house on the main road, about knee deep and still rising.","call_111, evacuate"
2_act,"My neighbour's fence blew down in the wind about half an hour ago, no one was hurt, just the fence.",Is the fence blocking any path or road?,"No, it's just fallen into their own yard, not blocking anything.",none
1_ask,A tree's fallen across the road.,"Thanks — is the tree blocking the whole road or just part of it, is anyone injured or is anything damaged by the tree?",,
1_ask,Gale-force gusts just came through.,Are the gusts causing any damage?,,
1_ask,A car's rolled on the corner.,"Can you please let us know if the car is on fire, or if anyone is injured? Is it blocking traffic nearby?",,
1_ask,There's a cracking sound from the hillside.,"Can you give us a bit more detail — what's happening exactly, and which suburb are you in?",,
1_ask,"Nonstop heavy rain in Titahi Bay, happened a little while ago.",Is the rain causing any flooding in your area?,,
1_ask,A big pothole's appeared overnight.,Can you give us more details on the location of the pothole? Is the road still passable?,,
1_ask,Someone's stuck on the cliff path.,Is the person injured or in life threatening danger?,,
1_ask,A car's hit a power pole.,"Thanks — has the pole fallen down and injured anyone? Is the car is on fire, or if anyone is injured? Is it blocking traffic nearby?",,
1_ask,Smells like burning plastic outside.,Can you give us a bit more detail — what's happening exactly? Can you see fire or smoke?,,
1_ask,Just saw shifted ground near the retaining wall near our place in Paraparaumu.,"Thanks — is this still ongoing, and can you describe it a bit further?",,
1_ask,"A spreading damp patch on the ceiling in Masterton, happened a little while ago.",Can you tell us a bit more — is your ceiling in risk of falling down? Is anyone's affected?,,
1_ask,Water's pooling on the road.,Is there any early signs of flooding as a result?,,
1_ask,There's a multi-car crash outside.,How many cars are in the crash? Are they on fire? Is anyone injured?,,
1_ask,Thick smoke's drifting through the street.,What color is the smoke? Has it spread across the whole street or only part of the street? Can you smell anything?,,
1_ask,"A strong shake on our street in Strathmore, 20 minutes ago now. A couple of things fell off a shelf.","Thanks for the detail — can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?",,
1_ask,Reporting a large new pothole in Highbury — first noticed it 20 minutes ago. One lane's still passable.,Can you give us more details on the location of the pothole? Is it making one lane not passable?,,
1_ask,"A sharp jolt in Southgate, happened a little while ago.","Thanks for the detail — can you confirm roughly how strong the shaking felt, on a scale from barely noticeable to extreme shaking that damaged or destroyed buildings?",,
1_ask,Reporting a sudden drop in water pressure in Featherston — first noticed it 20 minutes ago. No one seems to be working on it yet.,Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,Noticed flooding spreading down the street around Seatoun this morning.,Thanks for that — how high is the flood and is anyone in danger? Is it getting worse?,,
1_ask,Noticed a concerned group gathered nearby around Miramar this morning.,Do you know what is group is concerned about? Is there any anti-social behaviour?,,
1_ask,Strong gas smell near the shops.,"Thanks for the detail — have you noticed anyone else reacting to the smell, or any visible source nearby?",,
1_ask,Reporting water coming up in the carpark in Carterton.,Thanks for that — is it causing flood and is anyone in danger? Is any car damaged? Is it getting worse?,,
1_ask,Water's coming up through a drain.,Thanks for that — is it causing flood and is anyone in danger? Is it getting worse?,,
1_ask,That was a strong one.,Can you give us a bit more detail — what's happening exactly?,,
1_ask,There's been a sulphur smell in the air in Vogeltown since about half an hour ago. Seems localised to one corner of the block.,"Thanks for the detail — have you noticed anyone else reacting to the smell, or any visible source nearby?",,
1_ask,Reporting flooding spreading down the street in Upper Hutt — first noticed it an hour ago. It's rising steadily.,Thanks for that — how high is the flood and is anyone in danger? Is it getting worse?,,
1_ask,"There's been water coming up through a drain near Oriental Bay, started about 45 minutes ago. A couple of letterboxes are half-submerged.",Thanks for that — is it causing flood and is anyone in danger? Is it getting worse?,,
1_ask,"There's been a sparking transformer near Kapiti, started about 10 minutes ago. Neighbours confirm it's not just us.",Thanks for confirming the timing — can you tell us if anyone else nearby seems to be reacting to it too?,,
1_ask,"A burning smell with no flames visible in Waitangirua, happened a little while ago.","Thanks for the detail — have you noticed anyone else reacting to the smell, or any visible source nearby?",,
